"partyname_1","origname_1","cmp_id_1","rile_1","lrgen_1","cses_lr_1","cses_expert_1","tev_lr_1","country_1","electionyear_1","partyname_2","origname_2","cmp_id_2","rile_2","lrgen_2","cses_lr_2","cses_expert_2","tev_lr_2","country_2","electionyear_2","switch","rpartyname_1","rpartyname_2","rorigname_1","rorigname_2","rcountry_1","rcountry_2"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Austrian Social Democratic Party","Sozialdemokratische Partei Österreichs",42320,-5.7,NA,NA,NA,NA,"Austria",1979,1,"Austrian Social Democratic Party","Austrian Freedom Party","Sozialdemokratische Partei Österreichs","Freiheitliche Partei Österreichs","Austria","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Austrian People’s Party","Österreichische Volkspartei",42520,-17.1,NA,NA,NA,NA,"Austria",1979,0,"Austrian Freedom Party","Austrian People’s Party","Freiheitliche Partei Österreichs","Österreichische Volkspartei","Austria","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Christian Social Party","Centre démocrate humaniste",21522,5.102,NA,NA,NA,NA,"Belgium",1978,1,"Christian Social Party","Austrian Freedom Party","Centre démocrate humaniste","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Christian People’s Party","Christen-Democratisch en Vlaams",21521,1.303,NA,NA,NA,NA,"Belgium",1978,0,"Austrian Freedom Party","Christian People’s Party","Freiheitliche Partei Österreichs","Christen-Democratisch en Vlaams","Austria","Belgium"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Peoples’ Union","De Volksunie",21913,15.122,NA,NA,NA,NA,"Belgium",1978,0,"Austrian Freedom Party","Peoples’ Union","Freiheitliche Partei Österreichs","De Volksunie","Austria","Belgium"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Francophone Democratic Front of Francophones of Brussels","Démocrate fédéraliste indépendant",21912,-0.987,NA,NA,NA,NA,"Belgium",1978,1,"Francophone Democratic Front of Francophones of Brussels","Austrian Freedom Party","Démocrate fédéraliste indépendant","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Party of Liberty and Progress","Open Vlaamse Liberalen en Demokraten",21421,26.182,NA,NA,NA,NA,"Belgium",1978,1,"Party of Liberty and Progress","Austrian Freedom Party","Open Vlaamse Liberalen en Demokraten","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Liberal Party","Parti Libéral",21424,1.852,NA,NA,NA,NA,"Belgium",1978,1,"Liberal Party","Austrian Freedom Party","Parti Libéral","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Party of Walloon Reform and Liberty","Parti Réformateur Libéral",21422,3.29,NA,NA,NA,NA,"Belgium",1978,1,"Party of Walloon Reform and Liberty","Austrian Freedom Party","Parti Réformateur Libéral","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Francophone Socialist Party","Parti Socialiste",21322,0.512,NA,NA,NA,NA,"Belgium",1978,1,"Francophone Socialist Party","Austrian Freedom Party","Parti Socialiste","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Walloon Rally","Rassemblement Wallon",21911,-7.906,NA,NA,NA,NA,"Belgium",1978,1,"Walloon Rally","Austrian Freedom Party","Rassemblement Wallon","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Flemish Socialist Party","Socialistische Partij Anders",21321,-29.461,NA,NA,NA,NA,"Belgium",1978,1,"Flemish Socialist Party","Austrian Freedom Party","Socialistische Partij Anders","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Flemish Bloc","Vlaams Blok",21914,-2.915,NA,NA,NA,NA,"Belgium",1978,1,"Flemish Bloc","Austrian Freedom Party","Vlaams Blok","Freiheitliche Partei Österreichs","Belgium","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Centre Democrats","Centrum-Demokraterne",13330,51,NA,NA,NA,NA,"Denmark",1979,1,"Centre Democrats","Austrian Freedom Party","Centrum-Demokraterne","Freiheitliche Partei Österreichs","Denmark","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Danish Communist Party","Danmarks Kommunistiske Parti",13220,-51.4,NA,NA,NA,NA,"Denmark",1979,0,"Austrian Freedom Party","Danish Communist Party","Freiheitliche Partei Österreichs","Danmarks Kommunistiske Parti","Austria","Denmark"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Danish Social-Liberal Party","Det Radikale Venstre",13410,-11.5,NA,NA,NA,NA,"Denmark",1979,0,"Austrian Freedom Party","Danish Social-Liberal Party","Freiheitliche Partei Österreichs","Det Radikale Venstre","Austria","Denmark"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Progress Party","Fremskridtspartiet",13951,45.9,NA,NA,NA,NA,"Denmark",1979,1,"Progress Party","Austrian Freedom Party","Fremskridtspartiet","Freiheitliche Partei Österreichs","Denmark","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Conservative People’s Party","Konservative Folkeparti",13620,35.9,NA,NA,NA,NA,"Denmark",1979,0,"Austrian Freedom Party","Conservative People’s Party","Freiheitliche Partei Österreichs","Konservative Folkeparti","Austria","Denmark"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Christian People’s Party","Kristendemokraterne",13520,32.6,NA,NA,NA,NA,"Denmark",1979,1,"Christian People’s Party","Austrian Freedom Party","Kristendemokraterne","Freiheitliche Partei Österreichs","Denmark","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Justice Party","Retsforbund",13952,18.3,NA,NA,NA,NA,"Denmark",1979,1,"Justice Party","Austrian Freedom Party","Retsforbund","Freiheitliche Partei Österreichs","Denmark","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Social Democratic Party","Socialdemokratiet",13320,-11.4,NA,NA,NA,NA,"Denmark",1979,1,"Social Democratic Party","Austrian Freedom Party","Socialdemokratiet","Freiheitliche Partei Österreichs","Denmark","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Socialist People’s Party","Socialistisk Folkeparti",13230,-43.2,NA,NA,NA,NA,"Denmark",1979,0,"Austrian Freedom Party","Socialist People’s Party","Freiheitliche Partei Österreichs","Socialistisk Folkeparti","Austria","Denmark"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Liberals","Venstre",13420,51.1,NA,NA,NA,NA,"Denmark",1979,1,"Liberals","Austrian Freedom Party","Venstre","Freiheitliche Partei Österreichs","Denmark","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Left Socialist Party","Venstresocialisterne",13210,-26.9,NA,NA,NA,NA,"Denmark",1979,0,"Austrian Freedom Party","Left Socialist Party","Freiheitliche Partei Österreichs","Venstresocialisterne","Austria","Denmark"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"National Coalition","Kansallinen Kokoomus",14620,-33.333,NA,NA,NA,NA,"Finland",1979,0,"Austrian Freedom Party","National Coalition","Freiheitliche Partei Österreichs","Kansallinen Kokoomus","Austria","Finland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Liberal People’s Party","Liberaalinen Kansanpuolue",14420,-6,NA,NA,NA,NA,"Finland",1979,1,"Liberal People’s Party","Austrian Freedom Party","Liberaalinen Kansanpuolue","Freiheitliche Partei Österreichs","Finland","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Finnish Rural Party","Perussuomalaiset",14820,38.462,NA,NA,NA,NA,"Finland",1979,1,"Finnish Rural Party","Austrian Freedom Party","Perussuomalaiset","Freiheitliche Partei Österreichs","Finland","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Swedish People’s Party","Ruotsalainen Kansanpuolue/Svenska Folkpartiet",14901,6.364,NA,NA,NA,NA,"Finland",1979,1,"Swedish People’s Party","Austrian Freedom Party","Ruotsalainen Kansanpuolue/Svenska Folkpartiet","Freiheitliche Partei Österreichs","Finland","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Finnish People’s Democratic Union","Suomen Kansan Demokraattinen Liitto",14221,-13.265,NA,NA,NA,NA,"Finland",1979,0,"Austrian Freedom Party","Finnish People’s Democratic Union","Freiheitliche Partei Österreichs","Suomen Kansan Demokraattinen Liitto","Austria","Finland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Centre Party","Suomen Keskusta",14810,-24.167,NA,NA,NA,NA,"Finland",1979,0,"Austrian Freedom Party","Centre Party","Freiheitliche Partei Österreichs","Suomen Keskusta","Austria","Finland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Finnish Christian Union","Suomen Kristillisdemokraatit",14520,23.529,NA,NA,NA,NA,"Finland",1979,1,"Finnish Christian Union","Austrian Freedom Party","Suomen Kristillisdemokraatit","Freiheitliche Partei Österreichs","Finland","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Finnish Social Democrats","Suomen Sosialidemokraattinen Puolue",14320,-40.123,NA,NA,NA,NA,"Finland",1979,0,"Austrian Freedom Party","Finnish Social Democrats","Freiheitliche Partei Österreichs","Suomen Sosialidemokraattinen Puolue","Austria","Finland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Union for French Democracy","Mouvement Démocrate",31624,10.909,NA,NA,NA,NA,"France",1978,1,"Union for French Democracy","Austrian Freedom Party","Mouvement Démocrate","Freiheitliche Partei Österreichs","France","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"French Communist Party","Parti Communiste Français",31220,-39.9,NA,NA,NA,NA,"France",1978,0,"Austrian Freedom Party","French Communist Party","Freiheitliche Partei Österreichs","Parti Communiste Français","Austria","France"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Socialist Party","Parti Socialiste",31320,-39.2,NA,NA,NA,NA,"France",1978,1,"Socialist Party","Austrian Freedom Party","Parti Socialiste","Freiheitliche Partei Österreichs","France","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"National Centre of Independents and Peasants - Conservatives","Union de la Nouvelle Majorite - Conservatives/Gaullists",31622,11.4,NA,NA,NA,NA,"France",1978,0,"Austrian Freedom Party","National Centre of Independents and Peasants - Conservatives","Freiheitliche Partei Österreichs","Union de la Nouvelle Majorite - Conservatives/Gaullists","Austria","France"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Rally for the Republic - Gaullists","Union de la Nouvelle Majorite - Gaullists/Conservatives",31621,19.1,NA,NA,NA,NA,"France",1978,0,"Austrian Freedom Party","Rally for the Republic - Gaullists","Freiheitliche Partei Österreichs","Union de la Nouvelle Majorite - Gaullists/Conservatives","Austria","France"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Christian Democratic Union/Christian Social Union","Christlich-Demokratische Union/Christlich-Soziale Union",41521,14.525,NA,NA,NA,0.740349344978166,"Germany",1976,1,"Christian Democratic Union/Christian Social Union","Austrian Freedom Party","Christlich-Demokratische Union/Christlich-Soziale Union","Freiheitliche Partei Österreichs","Germany","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Free Democratic Party","Freie Demokratische Partei",41420,-5.532,NA,NA,NA,0.40498687664042,"Germany",1976,0,"Austrian Freedom Party","Free Democratic Party","Freiheitliche Partei Österreichs","Freie Demokratische Partei","Austria","Germany"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Social Democratic Party of Germany","Sozialdemokratische Partei Deutschlands",41320,-20.792,NA,NA,NA,0.235196506550218,"Germany",1976,1,"Social Democratic Party of Germany","Austrian Freedom Party","Sozialdemokratische Partei Deutschlands","Freiheitliche Partei Österreichs","Germany","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Union of the Democratic Centre","Enosi Dimokratikou Kentrou",34510,-16.333,NA,NA,NA,NA,"Greece",1977,1,"Union of the Democratic Centre","Austrian Freedom Party","Enosi Dimokratikou Kentrou","Freiheitliche Partei Österreichs","Greece","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"National Alignment","Ethniki Parataxis",34610,12.281,NA,NA,NA,NA,"Greece",1977,1,"National Alignment","Austrian Freedom Party","Ethniki Parataxis","Freiheitliche Partei Österreichs","Greece","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Communist Party of Greece","Kommounistiko Komma Elladas",34210,-15.244,NA,NA,NA,NA,"Greece",1977,0,"Austrian Freedom Party","Communist Party of Greece","Freiheitliche Partei Österreichs","Kommounistiko Komma Elladas","Austria","Greece"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"New Democracy","Nea Dimokratia",34511,32.298,NA,NA,NA,NA,"Greece",1977,1,"New Democracy","Austrian Freedom Party","Nea Dimokratia","Freiheitliche Partei Österreichs","Greece","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Panhellenic Socialist Movement","Panellinio Socialistiko Kinima",34313,-27.182,NA,NA,NA,NA,"Greece",1977,1,"Panhellenic Socialist Movement","Austrian Freedom Party","Panellinio Socialistiko Kinima","Freiheitliche Partei Österreichs","Greece","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"People’s Alliance","Alþýðubandalagið",15220,9.05,NA,NA,NA,NA,"Iceland",1979,0,"Austrian Freedom Party","People’s Alliance","Freiheitliche Partei Österreichs","Alþýðubandalagið","Austria","Iceland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Social Democratic Party","Alþýðuflokkurinn",15320,-6.2,NA,NA,NA,NA,"Iceland",1979,0,"Austrian Freedom Party","Social Democratic Party","Freiheitliche Partei Österreichs","Alþýðuflokkurinn","Austria","Iceland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Progressive Party","Framsóknarflokkurinn",15810,8.45,NA,NA,NA,NA,"Iceland",1979,0,"Austrian Freedom Party","Progressive Party","Freiheitliche Partei Österreichs","Framsóknarflokkurinn","Austria","Iceland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Independence Party","Sjálfstæðisflokkurinn",15620,-5.6,NA,NA,NA,NA,"Iceland",1979,0,"Austrian Freedom Party","Independence Party","Freiheitliche Partei Österreichs","Sjálfstæðisflokkurinn","Austria","Iceland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Soldiers of Destiny","Fianna Fáil",53620,-4.2,NA,NA,NA,NA,"Ireland",1977,0,"Austrian Freedom Party","Soldiers of Destiny","Freiheitliche Partei Österreichs","Fianna Fáil","Austria","Ireland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Family of the Irish","Fine Gael",53520,-16,NA,NA,NA,NA,"Ireland",1977,0,"Austrian Freedom Party","Family of the Irish","Freiheitliche Partei Österreichs","Fine Gael","Austria","Ireland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Labour Party","Páirti Lucht Oibre",53320,-16,NA,NA,NA,NA,"Ireland",1977,0,"Austrian Freedom Party","Labour Party","Freiheitliche Partei Österreichs","Páirti Lucht Oibre","Austria","Ireland"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Italian Social Movement-National Right","Alleanza Nazionale",32710,4.651,NA,NA,NA,NA,"Italy",1979,1,"Italian Social Movement-National Right","Austrian Freedom Party","Alleanza Nazionale","Freiheitliche Partei Österreichs","Italy","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Italian Communist Party","Democratici di Sinistra",32220,-16.667,NA,NA,NA,NA,"Italy",1979,0,"Austrian Freedom Party","Italian Communist Party","Freiheitliche Partei Österreichs","Democratici di Sinistra","Austria","Italy"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Radical Party","Lista Pannella-Sgarbi",32310,32.624,NA,NA,NA,NA,"Italy",1979,1,"Radical Party","Austrian Freedom Party","Lista Pannella-Sgarbi","Freiheitliche Partei Österreichs","Italy","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Italian Liberal Party","Partito Liberale Italiano",32420,-5.03,NA,NA,NA,NA,"Italy",1979,1,"Italian Liberal Party","Austrian Freedom Party","Partito Liberale Italiano","Freiheitliche Partei Österreichs","Italy","Austria"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Christian Democrats","Partito Popolare Italiano",32520,-6.294,NA,NA,NA,NA,"Italy",1979,0,"Austrian Freedom Party","Christian Democrats","Freiheitliche Partei Österreichs","Partito Popolare Italiano","Austria","Italy"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Italian Republican Party","Partito Repubblicano Italiano",32410,-2.778,NA,NA,NA,NA,"Italy",1979,0,"Austrian Freedom Party","Italian Republican Party","Freiheitliche Partei Österreichs","Partito Repubblicano Italiano","Austria","Italy"
"Austrian Freedom Party","Freiheitliche Partei Österreichs",42420,-3.5,NA,NA,NA,NA,"Austria",1979,"Italian Democratic Socialist Party","Partito Socialista Democratico Italiano",32330,2.491,NA,NA,NA,NA,"Italy",1979,0,"Austrian Freedom Party","Italian Democratic Socialist Party","Freiheitliche Partei Österreichs","Partito Socialista Democratico Italiano","Austria","Italy"
